slip_id,date,stake,ticket_odds,ticket_win_prob,ticket_ev,result_return_factor,pnl,hit,bankroll_before,bankroll_after
2025-08-01-001,2025-08-01,2.0,2.3,0.5399916540982513,0.4839616088519558,0.0,-2.0,0,100.0,98.0
2025-08-03-001,2025-08-03,1.96,2.5,0.45966481725967767,0.2923576045724207,0.0,-1.96,0,98.0,96.04
2025-08-09-001,2025-08-09,1.9208,1.857142857142857,0.5843345080732225,0.16363805719879898,1.857142857142857,1.6463999999999996,1,96.04,97.6864
2025-08-17-001,2025-08-17,1.9537280000000001,1.7999999999999996,0.6313341933353109,0.2664915235778981,1.7999999999999996,1.5629823999999992,1,97.6864,99.2493824
2025-08-23-001,2025-08-23,1.9849876480000002,2.583333333333333,0.49478844750578155,0.552230490069521,2.583333333333333,3.142897109333333,1,99.2493824,102.39227950933333
2025-08-29-001,2025-08-29,2.047845590186667,2.2698412698412698,0.6152544574871912,0.812032128034291,0.0,-2.047845590186667,0,102.39227950933333,100.34443391914667
2025-08-30-001,2025-08-30,2.0068886783829334,2.022222222222222,0.611254092711655,0.4738095785797547,0.0,-2.0068886783829334,0,100.34443391914667,98.33754524076373
2025-08-31-001,2025-08-31,1.9667509048152747,2.476923076923077,0.6090509055433706,1.000234919008015,2.476923076923077,2.9047397978810214,1,98.33754524076373,101.24228503864475
2025-09-12-001,2025-09-12,2.0248457007728953,1.9090909090909092,0.6012352950331583,0.2992981854377494,0.0,-2.0248457007728953,0,101.24228503864475,99.21743933787185
2025-09-13-001,2025-09-13,1.984348786757437,2.214814814814815,0.5504009317093179,0.4346440939773546,2.214814814814815,2.410616303912738,1,99.21743933787185,101.62805564178458
2025-09-14-001,2025-09-14,2.0325611128356917,2.555555555555555,0.44167110264300236,0.26162118511929017,0.0,-2.0325611128356917,0,101.62805564178458,99.59549452894889
2025-09-20-001,2025-09-20,1.9919098905789778,2.095238095238095,0.5600551004824602,0.3454943443014738,2.095238095238095,2.1816155944436417,1,99.59549452894889,101.77711012339253
2025-09-21-001,2025-09-21,2.035542202467851,2.333333333333333,0.5214612963057916,0.4411895738948893,2.333333333333333,2.714056269957134,1,101.77711012339253,104.49116639334967
2025-09-27-001,2025-09-27,2.0898233278669935,2.555555555555555,0.5472213071823022,0.8326994082302542,2.555555555555555,3.2508362877930996,1,104.49116639334967,107.74200268114278
2025-09-28-001,2025-09-28,2.1548400536228556,2.833333333333333,0.5061535934468937,0.9354200496365762,0.0,-2.1548400536228556,0,107.74200268114278,105.58716262751992
2025-09-29-001,2025-09-29,2.1117432525503985,2.746153846153846,0.471877399402942,0.6247548811158216,0.0,-2.1117432525503985,0,105.58716262751992,103.47541937496952
2025-10-02-001,2025-10-02,2.0695083874993903,2.5,0.49760673593030824,0.5049948967105273,0.0,-2.0695083874993903,0,103.47541937496952,101.40591098747012
2025-10-03-001,2025-10-03,2.0281182197494023,2.351111111111111,0.6044659929690794,0.8541758828860537,2.351111111111111,2.7402130613503033,1,101.40591098747012,104.14612404882043
2025-10-04-001,2025-10-04,2.0829224809764084,2.5,0.5761795633368308,0.9174209329072298,2.5,3.1243837214646124,1,104.14612404882043,107.27050777028504
2025-10-05-001,2025-10-05,2.145410155405701,2.692307692307692,0.5470867348507897,1.014619866846765,2.692307692307692,3.6306941091481084,1,107.27050777028504,110.90120187943315
2025-10-17-001,2025-10-17,2.218024037588663,1.9259259259259258,0.6251599760337323,0.4525030889824804,1.9259259259259258,2.0537259607302434,1,110.90120187943315,112.95492784016339
2025-10-18-001,2025-10-18,2.2590985568032678,2.6066666666666665,0.5275703573880296,0.8476139251841014,2.6066666666666665,3.6296183479305832,1,112.95492784016339,116.58454618809398
2025-10-19-001,2025-10-19,2.3316909237618795,2.692307692307692,0.589483451110173,1.3688677257111739,2.692307692307692,3.945938486366257,1,116.58454618809398,120.53048467446024
2025-10-22-001,2025-10-22,2.4106096934892047,2.142857142857143,0.604560319990098,0.7123023800830787,2.142857142857143,2.7549825068448053,1,120.53048467446024,123.28546718130505
2025-10-23-001,2025-10-23,2.4657093436261013,2.272727272727273,0.6860387563458864,1.3787728645822683,2.272727272727273,3.138175528251402,1,123.28546718130505,126.42364270955645
2025-10-24-001,2025-10-24,2.5284728541911288,1.9090909090909092,0.6127845407304278,0.4294899286090675,1.9090909090909092,2.298611685628299,1,126.42364270955645,128.72225439518473
2025-10-25-001,2025-10-25,2.574445087903695,2.5384615384615383,0.5456807902436513,0.9916497267273637,2.5384615384615383,3.9606847506210685,1,128.72225439518473,132.6829391458058
2025-10-26-001,2025-10-26,2.653658782916116,2.692307692307692,0.6572556931857697,2.042082140125524,2.692307692307692,4.490807171088811,1,132.6829391458058,137.1737463168946
2025-10-29-001,2025-10-29,2.743474926337892,2.1666666666666665,0.5319699703946174,0.418658670237185,2.1666666666666665,3.200720747394207,1,137.1737463168946,140.3744670642888
2025-10-31-001,2025-10-31,2.8074893412857764,2.0769230769230766,0.539627552733777,0.33904621788603856,2.0769230769230766,3.02345005984622,1,140.3744670642888,143.39791712413503
2025-11-01-001,2025-11-01,2.8679583424827007,2.7777777777777772,0.5134343472880826,1.222342545356233,2.7777777777777772,5.098592608858133,1,143.39791712413503,148.49650973299316
2025-11-02-001,2025-11-02,2.969930194659863,2.4555555555555553,0.5821155620602412,1.2753388184984453,0.0,-2.969930194659863,0,148.49650973299316,145.5265795383333
2025-11-03-001,2025-11-03,2.910531590766666,2.833333333333333,0.44255326388180793,0.7389866320872127,0.0,-2.910531590766666,0,145.5265795383333,142.61604794756664
2025-11-06-001,2025-11-06,2.8523209589513328,2.7777777777777772,0.5982907737676165,1.8880049120613964,2.7777777777777772,5.070792815913479,1,142.61604794756664,147.68684076348012
2025-11-07-001,2025-11-07,2.9537368152696026,2.333333333333333,0.5207661478868266,0.6354108521024565,2.333333333333333,3.9383157536928026,1,147.68684076348012,151.6251565171729
2025-11-08-001,2025-11-08,3.0325031303434584,2.357142857142857,0.5878892593452625,1.1697546293403693,2.357142857142857,4.115539962608979,1,151.6251565171729,155.7406964797819
